Time Stamp|SSID|BSSID|RSSI
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:e4:71|-67
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:e4:75|-68
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:e4:7a|-66
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:e4:7e|-68
2018-11-01 15:11:07.905|uniwide|00:2a:10:ff:52:85|-77
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:7d:b5|-76
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:64:01|-74
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:64:05|-81
2018-11-01 15:11:07.905|eduroam|00:2a:10:ff:52:8e|-87
2018-11-01 15:11:07.905|uniwide|00:2a:10:ff:52:8a|-87
2018-11-01 15:11:07.905||00:2a:10:ff:52:8b|-90
2018-11-01 15:11:07.905|SolsticePod|9c:30:5b:63:c3:31|-70
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:7d:b1|-79
2018-11-01 15:11:07.905|Noah's NAT|f4:f2:6d:22:9d:00|-81
2018-11-01 15:11:07.905||00:2a:10:ff:52:80|-79
2018-11-01 15:11:07.905||08:cc:68:b4:7d:b4|-79
2018-11-01 15:11:07.905||08:cc:68:b4:7e:e0|-81
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:7e:e5|-81
2018-11-01 15:11:07.905||08:cc:68:b5:90:40|-82
2018-11-01 15:11:07.905||08:cc:68:b4:7e:e4|-83
2018-11-01 15:11:07.905||08:cc:68:b4:e4:7f|-66
2018-11-01 15:11:07.905||00:2a:10:ff:52:84|-74
2018-11-01 15:11:07.905|eduroam|00:2a:10:ff:52:81|-75
2018-11-01 15:11:07.905||08:cc:68:b4:64:00|-80
2018-11-01 15:11:07.905||00:2a:10:ff:52:8f|-90
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:e4:71|-67
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:e4:75|-68
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:e4:7a|-71
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:e4:7e|-71
2018-11-01 15:11:07.905|uniwide|00:2a:10:ff:52:85|-82
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:7d:b5|-82
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:64:01|-77
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:64:05|-76
2018-11-01 15:11:07.905|uniwide|00:2a:10:ff:52:8a|-94
2018-11-01 15:11:07.905||00:2a:10:ff:52:8b|-94
2018-11-01 15:11:07.905|SolsticePod|9c:30:5b:63:c3:31|-60
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:7d:b1|-79
2018-11-01 15:11:07.905|Noah's NAT|f4:f2:6d:22:9d:00|-84
2018-11-01 15:11:07.905||08:cc:68:b4:7d:b4|-81
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:7e:e5|-84
2018-11-01 15:11:07.905||08:cc:68:b4:e4:7f|-66
2018-11-01 15:11:07.905||00:2a:10:ff:52:84|-74
2018-11-01 15:11:07.905|eduroam|00:2a:10:ff:52:81|-80
2018-11-01 15:11:07.905||08:cc:68:b4:64:00|-80
2018-11-01 15:11:07.905||00:2a:10:ff:52:8f|-94
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:64:0a|-89
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:64:0e|-89
2018-11-01 15:11:07.905||08:cc:68:b4:64:0f|-90
2018-11-01 15:11:07.905|Cisco-IOT|e0:55:3d:10:35:1a|-89
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:e4:71|-67
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:e4:75|-70
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:e4:7a|-67
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:e4:7e|-66
2018-11-01 15:11:07.905|uniwide|00:2a:10:ff:52:85|-74
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:7d:b5|-76
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:64:01|-78
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:64:05|-77
2018-11-01 15:11:07.905|uniwide|00:2a:10:ff:52:8a|-94
2018-11-01 15:11:07.905||00:2a:10:ff:52:8b|-94
2018-11-01 15:11:07.905|SolsticePod|9c:30:5b:63:c3:31|-58
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:7d:b1|-80
2018-11-01 15:11:07.905|Noah's NAT|f4:f2:6d:22:9d:00|-79
2018-11-01 15:11:07.905||08:cc:68:b4:7d:b4|-79
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:7e:e5|-84
2018-11-01 15:11:07.905|eduroam|00:2a:10:ff:52:81|-74
2018-11-01 15:11:07.905||08:cc:68:b4:64:00|-77
2018-11-01 15:11:07.905||00:2a:10:ff:52:8f|-94
2018-11-01 15:11:07.905|uniwide|08:cc:68:b4:64:0a|-89
2018-11-01 15:11:07.905|eduroam|08:cc:68:b4:64:0e|-89
2018-11-01 15:11:07.905||08:cc:68:b4:64:0f|-90
2018-11-01 15:11:07.905|Cisco-IOT|e0:55:3d:10:35:1a|-90
2018-11-01 15:11:07.905||08:cc:68:b4:e4:7b|-67
2018-11-01 15:11:07.905||08:cc:68:b4:e4:70|-69
2018-11-01 15:11:07.905||08:cc:68:b4:e4:74|-70
2018-11-01 15:11:07.905||08:cc:68:b4:7d:b0|-77
2018-11-01 15:11:07.905||08:cc:68:b4:64:04|-78
2018-11-01 15:11:07.905||08:cc:68:b5:86:82|-79
2018-11-01 15:11:07.905|eduroam|08:cc:68:b5:86:80|-81
2018-11-01 15:11:07.905|Global_Students|08:cc:68:b5:86:84|-81
2018-11-01 15:11:07.905|uniwide|08:cc:68:b5:90:45|-82
2018-11-01 15:11:07.905||08:cc:68:b5:90:40|-84
2018-11-01 15:11:07.905|eduroam|08:cc:68:b5:90:4e|-94
2018-11-01 15:11:07.905|eduroam|00:2a:10:ff:52:8e|-95
Time Stamp|SSID|BSSID|RSSI
2018-11-01 15:11:27.141|eduroam|08:cc:68:b4:e4:71|-70
2018-11-01 15:11:27.141|uniwide|08:cc:68:b4:e4:75|-71
2018-11-01 15:11:27.141|uniwide|08:cc:68:b4:e4:7a|-73
2018-11-01 15:11:27.141|eduroam|08:cc:68:b4:e4:7e|-72
2018-11-01 15:11:27.141|uniwide|00:2a:10:ff:52:85|-74
2018-11-01 15:11:27.141|uniwide|08:cc:68:b4:7d:b5|-79
2018-11-01 15:11:27.141|eduroam|08:cc:68:b4:64:01|-78
2018-11-01 15:11:27.141|uniwide|08:cc:68:b4:64:05|-77
2018-11-01 15:11:27.141|uniwide|00:2a:10:ff:52:8a|-89
2018-11-01 15:11:27.141||00:2a:10:ff:52:8b|-88
2018-11-01 15:11:27.141|SolsticePod|9c:30:5b:63:c3:31|-63
2018-11-01 15:11:27.141|eduroam|08:cc:68:b4:7d:b1|-78
2018-11-01 15:11:27.141|Noah's NAT|f4:f2:6d:22:9d:00|-84
2018-11-01 15:11:27.141||08:cc:68:b4:7d:b4|-79
2018-11-01 15:11:27.141|eduroam|00:2a:10:ff:52:81|-68
2018-11-01 15:11:27.141||08:cc:68:b4:64:00|-77
2018-11-01 15:11:27.141|Cisco-IOT|e0:55:3d:10:35:1a|-90
2018-11-01 15:11:27.141||08:cc:68:b4:e4:7b|-75
2018-11-01 15:11:27.141||08:cc:68:b4:e4:70|-69
2018-11-01 15:11:27.141||08:cc:68:b4:e4:74|-70
2018-11-01 15:11:27.141||08:cc:68:b4:7d:b0|-77
2018-11-01 15:11:27.141||08:cc:68:b4:64:04|-78
2018-11-01 15:11:27.141||08:cc:68:b5:86:82|-79
2018-11-01 15:11:27.141|eduroam|08:cc:68:b5:86:80|-81
2018-11-01 15:11:27.141|Global_Students|08:cc:68:b5:86:84|-81
2018-11-01 15:11:27.141|uniwide|08:cc:68:b5:90:45|-82
2018-11-01 15:11:27.141||08:cc:68:b5:90:40|-84
2018-11-01 15:11:27.141|eduroam|08:cc:68:b5:90:4e|-94
2018-11-01 15:11:27.141|eduroam|00:2a:10:ff:52:8e|-88
2018-11-01 15:11:27.141||00:2a:10:ff:52:84|-69
2018-11-01 15:11:27.141||08:cc:68:b4:e4:7f|-75
2018-11-01 15:11:27.141|eduroam|08:cc:68:b4:e4:71|-62
2018-11-01 15:11:27.141|uniwide|08:cc:68:b4:e4:75|-66
2018-11-01 15:11:27.141|uniwide|08:cc:68:b4:e4:7a|-67
