Time Stamp|SSID|BSSID|RSSI
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:64:01|-85
2018-11-01 15:11:27.891||00:2a:10:ff:52:84|-69
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:7d:b1|-84
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:8f:51|-86
2018-11-01 15:11:27.891||08:cc:68:b4:64:00|-83
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:7e:e1|-86
2018-11-01 15:11:27.891|uniwide|08:cc:68:b5:45:75|-88
2018-11-01 15:11:27.891||08:cc:68:b4:e4:7b|-69
2018-11-01 15:11:27.891||08:cc:68:b4:e4:70|-67
2018-11-01 15:11:27.891|eduroam|08:cc:68:b5:86:80|-79
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:64:0e|-83
2018-11-01 15:11:27.891|uniwide|08:cc:68:b4:64:0a|-84
2018-11-01 15:11:27.891||08:cc:68:b4:64:0b|-84
2018-11-01 15:11:27.891||08:cc:68:b4:64:04|-83
2018-11-01 15:11:27.891|uniwide|08:cc:68:b4:7d:b5|-85
2018-11-01 15:11:27.891|uniwide|08:cc:68:b4:e4:75|-67
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:e4:71|-66
2018-11-01 15:11:27.891|uniwide|08:cc:68:b4:e4:7a|-74
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:e4:7e|-74
2018-11-01 15:11:27.891|uniwide|08:cc:68:b4:64:05|-77
2018-11-01 15:11:27.891|Noah's NAT|f4:f2:6d:22:9d:00|-81
2018-11-01 15:11:27.891|uniwide|00:2a:10:ff:52:85|-76
2018-11-01 15:11:27.891|SolsticePod|9c:30:5b:63:c3:31|-66
2018-11-01 15:11:27.891||08:cc:68:b4:e4:7f|-71
2018-11-01 15:11:27.891|eduroam|00:2a:10:ff:52:81|-77
2018-11-01 15:11:27.891||08:cc:68:b5:86:85|-78
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:64:01|-80
2018-11-01 15:11:27.891||00:2a:10:ff:52:84|-69
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:7d:b1|-84
2018-11-01 15:11:27.891||08:cc:68:b4:64:00|-78
2018-11-01 15:11:27.891||08:cc:68:b4:e4:7b|-74
2018-11-01 15:11:27.891||08:cc:68:b4:e4:70|-66
2018-11-01 15:11:27.891|eduroam|08:cc:68:b5:86:80|-79
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:64:0e|-80
2018-11-01 15:11:27.891|uniwide|08:cc:68:b4:64:0a|-80
2018-11-01 15:11:27.891||08:cc:68:b4:64:0b|-84
2018-11-01 15:11:27.891||08:cc:68:b4:64:04|-81
2018-11-01 15:11:27.891|uniwide|08:cc:68:b4:7d:b5|-85
2018-11-01 15:11:27.891|uniwide|08:cc:68:b5:86:81|-77
2018-11-01 15:11:27.891|Global_Students|08:cc:68:b5:86:84|-80
2018-11-01 15:11:27.891|eduroam|08:cc:68:b5:45:71|-84
2018-11-01 15:11:27.891|uniwide|08:cc:68:b5:90:45|-91
2018-11-01 15:11:27.891|Cisco-IOT|e0:55:3d:10:35:1a|-91
2018-11-01 15:11:27.891|uniwide|08:cc:68:b4:e4:75|-67
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:e4:71|-66
2018-11-01 15:11:27.891|uniwide|08:cc:68:b4:e4:7a|-74
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:e4:7e|-74
2018-11-01 15:11:27.891|uniwide|08:cc:68:b4:64:05|-77
2018-11-01 15:11:27.891|Noah's NAT|f4:f2:6d:22:9d:00|-81
2018-11-01 15:11:27.891|uniwide|00:2a:10:ff:52:85|-76
2018-11-01 15:11:27.891|SolsticePod|9c:30:5b:63:c3:31|-66
2018-11-01 15:11:27.891||08:cc:68:b4:e4:7f|-71
2018-11-01 15:11:27.891|eduroam|00:2a:10:ff:52:81|-77
2018-11-01 15:11:27.891||08:cc:68:b5:86:85|-78
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:64:01|-80
2018-11-01 15:11:27.891||00:2a:10:ff:52:84|-69
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:7d:b1|-84
2018-11-01 15:11:27.891||08:cc:68:b4:64:00|-78
2018-11-01 15:11:27.891||08:cc:68:b4:e4:7b|-74
2018-11-01 15:11:27.891||08:cc:68:b4:e4:70|-66
2018-11-01 15:11:27.891|eduroam|08:cc:68:b5:86:80|-79
2018-11-01 15:11:27.891|eduroam|08:cc:68:b4:64:0e|-80
2018-11-01 15:11:27.891|uniwide|08:cc:68:b4:64:0a|-80
2018-11-01 15:11:27.891||08:cc:68:b4:64:0b|-84
2018-11-01 15:11:27.891||08:cc:68:b4:64:04|-81
2018-11-01 15:11:27.891|uniwide|08:cc:68:b4:7d:b5|-85
2018-11-01 15:11:27.891|uniwide|08:cc:68:b5:86:81|-77
2018-11-01 15:11:27.891|Global_Students|08:cc:68:b5:86:84|-80
2018-11-01 15:11:27.891|eduroam|08:cc:68:b5:45:71|-84
2018-11-01 15:11:27.891|uniwide|08:cc:68:b5:90:45|-91
2018-11-01 15:11:27.891|Cisco-IOT|e0:55:3d:10:35:1a|-91
