Time Stamp|SSID|BSSID|RSSI|dist
2018-11-01 16:50:05.538|uniwide|08:cc:68:b4:e4:75|-67|0.0
2018-11-01 16:50:05.538|eduroam|08:cc:68:b4:e4:71|-69|0.0
2018-11-01 16:50:05.538|uniwide|08:cc:68:b4:e4:7a|-67|0.0
2018-11-01 16:50:05.538|eduroam|08:cc:68:b4:e4:7e|-68|0.0
2018-11-01 16:50:05.538|uniwide|00:2a:10:ff:52:8a|-82|0.0
2018-11-01 16:50:05.538|uniwide|00:2a:10:ff:52:85|-83|0.0
2018-11-01 16:50:05.538|Noah's NAT|f4:f2:6d:22:9d:00|-73|0.0
2018-11-01 16:50:05.538|SolsticePod|9c:30:5b:63:c3:31|-63|0.0
2018-11-01 16:50:05.538|eduroam|08:cc:68:b4:7d:b1|-73|0.0
2018-11-01 16:50:05.538||08:cc:68:b4:e4:7b|-68|0.0
2018-11-01 16:50:05.538||00:2a:10:ff:52:8b|-82|0.0
2018-11-01 16:50:05.538||00:2a:10:ff:52:84|-83|0.0
2018-11-01 16:50:05.538||08:cc:68:b4:e4:74|-68|0.0
2018-11-01 16:50:05.538||08:cc:68:b4:e4:70|-69|0.0
2018-11-01 16:50:05.538|eduroam|08:cc:68:b4:64:0e|-80|0.0
2018-11-01 16:50:05.538||08:cc:68:b4:e4:7f|-68|0.0
2018-11-01 16:50:05.538|uniwide|08:cc:68:b4:7d:b5|-71|0.0
2018-11-01 16:50:05.538||00:2a:10:ff:52:80|-80|0.0
2018-11-01 16:50:05.538|Cisco-IOT|e0:55:3d:10:35:1a|-88|0.0
2018-11-01 16:50:05.538|uniwide|08:cc:68:b4:64:0a|-81|0.0
2018-11-01 16:50:05.538|eduroam|08:cc:68:b4:64:01|-79|0.0
2018-11-01 16:50:05.538|eduroam|00:2a:10:ff:52:8e|-83|0.0
2018-11-01 16:50:05.538||08:cc:68:b4:7d:b0|-75|0.0
2018-11-01 16:50:05.538||08:cc:68:b4:7d:b4|-80|0.0
2018-11-01 16:50:05.538|eduroam|00:2a:10:ff:52:81|-81|0.0
2018-11-01 16:50:05.538|uniwide|08:cc:68:b4:64:05|-80|0.0
2018-11-01 16:50:05.538|uniwide|08:cc:68:b5:45:75|-79|0.0
2018-11-01 16:50:05.538|eduroam|08:cc:68:b5:45:71|-83|0.0
2018-11-01 16:50:05.538||08:cc:68:b4:64:0b|-79|0.0
2018-11-01 16:50:05.538||08:cc:68:b4:64:0f|-79|0.0
2018-11-01 16:50:05.538||00:2a:10:ff:52:8f|-82|0.0
2018-11-01 16:50:05.538||08:cc:68:b5:45:70|-82|0.0
2018-11-01 16:50:05.538||08:cc:68:b5:45:74|-83|0.0
2018-11-01 16:50:05.538|uniwide|08:cc:68:b4:84:9a|-88|0.0
2018-11-01 16:50:05.538|eduroam|08:cc:68:b5:86:8f|-92|0.0
2018-11-01 16:50:05.538|uniwide|08:cc:68:b4:e4:75|-60|0.0
2018-11-01 16:50:05.538|eduroam|08:cc:68:b4:e4:71|-63|0.0
2018-11-01 16:50:05.538|uniwide|08:cc:68:b4:e4:7a|-64|0.0
2018-11-01 16:50:05.538|eduroam|08:cc:68:b4:e4:7e|-65|0.0
2018-11-01 16:50:05.538|uniwide|00:2a:10:ff:52:8a|-75|0.0
2018-11-01 16:50:05.538|uniwide|00:2a:10:ff:52:85|-75|0.0
2018-11-01 16:50:05.538|Noah's NAT|f4:f2:6d:22:9d:00|-78|0.0
2018-11-01 16:50:05.538|SolsticePod|9c:30:5b:63:c3:31|-76|0.0
2018-11-01 16:50:05.538|eduroam|08:cc:68:b4:7d:b1|-82|0.0
2018-11-01 16:50:05.538||08:cc:68:b4:e4:7b|-68|0.0
