Time Stamp|SSID|BSSID|RSSI
2018-10-07 06:27:56.604|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-94
2018-10-07 06:27:56.604|Telstra Air|f6:6b:ef:c0:83:c0|-89
Time Stamp|SSID|BSSID|RSSI
2018-10-07 06:35:55.015|WiFi-7TRU|a4:ca:a0:57:da:10|-54
2018-10-07 06:35:55.015|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-74
2018-10-07 06:35:55.015|TelstraF28877|24:20:c7:f2:88:7d|-84
2018-10-07 06:35:55.015|WiFi-85B8|c4:71:54:d8:85:b8|-86
2018-10-07 06:35:55.015|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-87
2018-10-07 06:35:55.015|TelstraC083BD|f4:6b:ef:c0:83:c3|-89
2018-10-07 06:35:55.015|TPG-9PYF|c4:05:28:f9:ca:44|-90
2018-10-07 06:35:55.015|Telstra 2.4Ghz|c4:e9:84:8d:60:10|-91
2018-10-07 06:35:55.015|OPTUS_8090D7|18:90:d8:80:90:d8|-92
2018-10-07 06:35:55.015|OPTUSVD39FAA40|10:0d:7f:dd:59:61|-93
2018-10-07 06:35:55.015|Fon WiFi|f6:6b:ef:c0:83:c1|-88
2018-10-07 06:35:55.015|Telstra Air|f6:6b:ef:c0:83:c0|-92
Time Stamp|SSID|BSSID|RSSI
2018-10-07 06:50:56.019|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-73
2018-10-07 06:50:56.019|WiFi-7TRU|a4:ca:a0:57:da:10|-68
2018-10-07 06:50:56.019|TPG-9PYF|c4:05:28:f9:ca:44|-87
2018-10-07 06:50:56.019|WiFi-85B8|c4:71:54:d8:85:b8|-87
2018-10-07 06:50:56.019|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-90
2018-10-07 06:50:56.019|OPTUS_66F220|b8:ee:0e:66:f2:21|-91
2018-10-07 06:50:56.019|TelstraF28877|24:20:c7:f2:88:7d|-93
2018-10-07 06:50:56.019|TelstraC083BD|f4:6b:ef:c0:83:c3|-93
2018-10-07 06:50:56.019|Telstra Air|f6:6b:ef:c0:83:c0|-91
2018-10-07 06:50:56.019|Fon WiFi|f6:6b:ef:c0:83:c1|-92
Time Stamp|SSID|BSSID|RSSI
2018-10-07 07:10:56.075|WiFi-7TRU|a4:ca:a0:57:da:10|-58
2018-10-07 07:10:56.075|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-73
2018-10-07 07:10:56.075|TelstraF28877|24:20:c7:f2:88:7d|-84
2018-10-07 07:10:56.075|WiFi-85B8|c4:71:54:d8:85:b8|-84
2018-10-07 07:10:56.075|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-88
2018-10-07 07:10:56.075|OPTUS_8090D7|18:90:d8:80:90:d8|-90
2018-10-07 07:10:56.075|TPG-9PYF|c4:05:28:f9:ca:44|-90
2018-10-07 07:10:56.075|OPTUSVD39FAA40|10:0d:7f:dd:59:61|-91
2018-10-07 07:10:56.075|TelstraC083BD|f4:6b:ef:c0:83:c3|-95
2018-10-07 07:10:56.075|Telstra Air|f6:6b:ef:c0:83:c0|-90
2018-10-07 07:10:56.075|Fon WiFi|f6:6b:ef:c0:83:c1|-92
Time Stamp|SSID|BSSID|RSSI
2018-10-07 07:20:54.998|WiFi-7TRU|a4:ca:a0:57:da:10|-57
2018-10-07 07:20:54.998|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-74
2018-10-07 07:20:54.998|WiFi-85B8|c4:71:54:d8:85:b8|-81
2018-10-07 07:20:54.998|TelstraF28877|24:20:c7:f2:88:7d|-85
2018-10-07 07:20:54.998|TPG-9PYF|c4:05:28:f9:ca:44|-88
2018-10-07 07:20:54.998|OPTUS_8090D7|18:90:d8:80:90:d8|-89
2018-10-07 07:20:54.998|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-91
Time Stamp|SSID|BSSID|RSSI
2018-10-07 07:35:55.0|WiFi-7TRU|a4:ca:a0:57:da:10|-56
2018-10-07 07:35:55.0|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-77
2018-10-07 07:35:55.0|WiFi-85B8|c4:71:54:d8:85:b8|-84
2018-10-07 07:35:55.0|TelstraF28877|24:20:c7:f2:88:7d|-87
2018-10-07 07:35:55.0|TPG-9PYF|c4:05:28:f9:ca:44|-89
2018-10-07 07:35:55.0|OPTUS_8090D7|18:90:d8:80:90:d8|-90
2018-10-07 07:35:55.0|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-90
2018-10-07 07:35:55.0|Telstra Air|f6:6b:ef:c0:83:c0|-90
2018-10-07 07:35:55.0|Fon WiFi|f6:6b:ef:c0:83:c1|-90
Time Stamp|SSID|BSSID|RSSI
2018-10-07 07:55:55.004|WiFi-7TRU|a4:ca:a0:57:da:10|-55
2018-10-07 07:55:55.004|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-78
2018-10-07 07:55:55.004|WiFi-85B8|c4:71:54:d8:85:b8|-85
2018-10-07 07:55:55.004|TelstraF28877|24:20:c7:f2:88:7d|-86
2018-10-07 07:55:55.004|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-90
2018-10-07 07:55:55.004|TelstraC083BD|f4:6b:ef:c0:83:c3|-90
2018-10-07 07:55:55.004|TPG-9PYF|c4:05:28:f9:ca:44|-92
2018-10-07 07:55:55.004|Telstra Air|f6:6b:ef:c0:83:c0|-90
Time Stamp|SSID|BSSID|RSSI
2018-10-07 08:05:55.007|WiFi-7TRU|a4:ca:a0:57:da:10|-58
2018-10-07 08:05:55.007|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-76
2018-10-07 08:05:55.007|TelstraF28877|24:20:c7:f2:88:7d|-83
2018-10-07 08:05:55.007|WiFi-85B8|c4:71:54:d8:85:b8|-84
2018-10-07 08:05:55.007|TelstraC083BD|f4:6b:ef:c0:83:c3|-88
2018-10-07 08:05:55.007|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-90
2018-10-07 08:05:55.007|TPG-9PYF|c4:05:28:f9:ca:44|-90
2018-10-07 08:05:55.007|OPTUS_8090D7|18:90:d8:80:90:d8|-91
2018-10-07 08:05:55.007|Telstra 2.4Ghz|c4:e9:84:8d:60:10|-91
2018-10-07 08:05:55.007|Fon WiFi|f6:6b:ef:c0:83:c1|-87
2018-10-07 08:05:55.007|Telstra Air|f6:6b:ef:c0:83:c0|-89
Time Stamp|SSID|BSSID|RSSI
2018-10-07 08:20:55.001|WiFi-7TRU|a4:ca:a0:57:da:10|-54
2018-10-07 08:20:55.001|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-74
2018-10-07 08:20:55.001|TelstraF28877|24:20:c7:f2:88:7d|-85
2018-10-07 08:20:55.001|WiFi-85B8|c4:71:54:d8:85:b8|-85
2018-10-07 08:20:55.001|TelstraC083BD|f4:6b:ef:c0:83:c3|-90
2018-10-07 08:20:55.001|OPTUS_8090D7|18:90:d8:80:90:d8|-91
2018-10-07 08:20:55.001|Telstra Air|f6:6b:ef:c0:83:c0|-87
2018-10-07 08:20:55.001|Fon WiFi|f6:6b:ef:c0:83:c1|-90
Time Stamp|SSID|BSSID|RSSI
2018-10-07 08:40:55.035|WiFi-7TRU|a4:ca:a0:57:da:10|-58
2018-10-07 08:40:55.035|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-74
2018-10-07 08:40:55.035|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-85
2018-10-07 08:40:55.035|TelstraF28877|24:20:c7:f2:88:7d|-85
2018-10-07 08:40:55.035|WiFi-85B8|c4:71:54:d8:85:b8|-85
2018-10-07 08:40:55.035|TelstraC083BD|f4:6b:ef:c0:83:c3|-87
2018-10-07 08:40:55.035|Telstra 2.4Ghz|c4:e9:84:8d:60:10|-87
2018-10-07 08:40:55.035|TPG-9PYF|c4:05:28:f9:ca:44|-89
2018-10-07 08:40:55.035|OPTUS_8090D7|18:90:d8:80:90:d8|-91
2018-10-07 08:40:55.035|Fon WiFi|f6:6b:ef:c0:83:c1|-89
Time Stamp|SSID|BSSID|RSSI
2018-10-07 08:50:55.17|WiFi-7TRU|a4:ca:a0:57:da:10|-57
2018-10-07 08:50:55.17|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-75
2018-10-07 08:50:55.17|TelstraF28877|24:20:c7:f2:88:7d|-84
2018-10-07 08:50:55.17|WiFi-85B8|c4:71:54:d8:85:b8|-85
2018-10-07 08:50:55.17|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-88
2018-10-07 08:50:55.17|TPG-9PYF|c4:05:28:f9:ca:44|-89
2018-10-07 08:50:55.17|OPTUS_8090D7|18:90:d8:80:90:d8|-92
